,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10342,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19430050.0,19430050.0,False,,1,,,,2023-07-15T16:58:00.000Z,30291.57623729975,15543584555.09488,-33.0572,-0.06316248,-2.93409396,0.13300885,21.36292419,11.83576777,-0.2212813,588566840869.546,48.4725,636123100983.29,,2023-07-15T16:58:00.000Z,,,,,,2023-07-15 17:00:26.783015+00:00
1,1027,Ethereum,ETH,ethereum,7124,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120201621.20838512,120201621.20838512,True,,2,,,,2023-07-15T16:58:00.000Z,1932.6787535360509,7768156607.108463,-31.6202,-0.15377202,-2.93444954,3.74029675,17.97365308,5.87662957,-8.00729137,232311119450.0343,19.1297,232311119450.03,,2023-07-15T16:58:00.000Z,,,,,,2023-07-15 17:00:26.783015+00:00
2,825,Tether,USDT,tether,56963,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83613851903.08127,86715788906.06107,True,,3,,,,2023-07-15T16:58:00.000Z,1.0003848755605695,30020022863.28055,-34.1789,0.01358165,0.00012825,0.03264916,0.14162706,0.02704896,-0.01508028,83646032831.20384,6.8895,86749163693.93,,2023-07-15T16:58:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-07-15 17:00:26.783015+00:00
3,1839,BNB,BNB,bnb,1505,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",,155848861.97241026,155848861.97241026,False,,4,,,,2023-07-15T16:58:00.000Z,250.40785908101756,553063799.9553862,-38.2725,-0.05542728,-2.02772566,5.72340886,7.8360269,-19.50966474,-27.75036725,39025779866.724266,3.214,39025779866.72,,2023-07-15T16:58:00.000Z,,,,,,2023-07-15 17:00:26.783015+00:00
4,52,XRP,XRP,xrp,993,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'sec-security-token']",100000000000.0,52544091958.0,99988621362.0,False,,5,,,,2023-07-15T16:58:00.000Z,0.7068586987305933,4875498211.123447,-60.2512,-2.38616858,-5.70826296,50.04129984,49.09239229,67.16884001,35.59420903,37141248467.41251,3.0582,70685869873.06,,2023-07-15T16:58:00.000Z,,,,,,2023-07-15 17:00:26.783015+00:00
5,3408,USD Coin,USDC,usd-coin,13318,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,27281669164.12069,27281669164.12069,False,,6,,,,2023-07-15T16:58:00.000Z,1.000024869661793,3520347089.2775035,-39.8602,0.0142309,-0.01033625,0.00731084,-0.01409089,0.00534387,0.02145394,27282347650.00595,2.2464,27282347650.01,,2023-07-15T16:58:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-07-15 17:00:26.783015+00:00
6,2010,Cardano,ADA,cardano,871,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,34976481904.853,35983607755.528,False,,7,,,,2023-07-15T16:58:00.000Z,0.32938907703244924,415224689.3067302,-70.5992,-0.68743909,-3.579016,13.03257697,28.24376467,-10.28511147,-26.3636756,11520871092.481691,0.9489,14822508466.46,,2023-07-15T16:58:00.000Z,,,,,,2023-07-15 17:00:26.783015+00:00
7,5426,Solana,SOL,solana,486,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,402545489.9384519,552440841.8386973,True,,8,,,,2023-07-15T16:58:00.000Z,27.221950289765793,1618302452.9960108,-33.3279,-1.53261218,-0.83003514,24.6055006,88.24641186,30.98665226,11.68089716,10958073316.473953,0.9023,15038517134.57,,2023-07-15T16:58:00.000Z,,,,,,2023-07-15 17:00:26.783015+00:00
8,74,Dogecoin,DOGE,dogecoin,743,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140184526383.70517,140184526383.70517,True,,9,,,,2023-07-15T16:58:00.000Z,0.07299312929807082,976417801.0923085,25.3205,0.10168355,1.71517774,11.37607216,20.06671017,1.06283655,-19.01357355,10232507259.914612,0.8426,10232507259.91,,2023-07-15T16:58:00.000Z,,,,,,2023-07-15 17:00:26.783015+00:00
9,3890,Polygon,MATIC,polygon,775,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,10,,,,2023-07-15T16:58:00.000Z,0.8038658605959136,381308972.6456269,-52.2167,-0.70459699,-3.59403573,17.88051835,38.55151979,-4.66986767,-31.1942146,7491603023.677728,0.6169,8038658605.96,,2023-07-15T16:58:00.000Z,,,,,,2023-07-15 17:00:26.783015+00:00
10,1958,TRON,TRX,tron,788,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,89779066981.61111,89779223612.28041,True,,11,71659659264.0,5774526574.557405,,2023-07-15T16:58:00.000Z,0.08058266860136162,214160354.3815801,-21.8262,-0.29193323,-0.81593626,1.6077252,14.72312552,14.16568322,21.29491311,7234636801.918616,0.5958,7234649423.64,,2023-07-15T16:58:00.000Z,,,,,,2023-07-15 17:00:26.783015+00:00
11,2,Litecoin,LTC,litecoin,946,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73368464.22743528,84000000.0,False,,12,,,,2023-07-15T16:58:00.000Z,94.29602265800452,769537427.949813,-22.3819,-0.26042866,-6.19390923,-3.82844165,28.18353337,4.53962696,-7.42589419,6918354365.173231,0.5697,7920865903.27,,2023-07-15T16:58:00.000Z,,,,,,2023-07-15 17:00:26.783015+00:00
12,6636,Polkadot,DOT,polkadot-new,532,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1205017562.5322838,1334496439.8374636,True,,13,,,,2023-07-15T16:58:00.000Z,5.473101444912051,166491321.06296566,-37.0046,-0.31109298,-2.5371063,5.99522744,27.1366063,3.31232899,-19.24610372,6595183362.63984,0.5432,7303834393.1,,2023-07-15T16:58:00.000Z,,,,,,2023-07-15 17:00:26.783015+00:00
